No.,名　言,リ　ン　ク,,,,,,,,,,,,,,,,,,,,,
1,「前出て前出て、ｯﾁ」,https://www.twitch.tv/alfrea/clip/WildHumbleWalletRlyTho-Y3lTcWQL6qzx8w2Z?filter=clips&range=all,,,,,,,,,,,,,,,,,,,,,
2,「こいつら…OKでーす」,https://clips.twitch.tv/ComfortableDrabHawkRaccAttack-wAj-C80sW_9wDTMO?lang=ja,,,,,,,,,,,,,,,,,,,,,
3,「この時間帯にゴーレムでファームするJGおまえ自分のレートで見たことあるか？」,https://www.twitch.tv/alfrea/clip/WiseObliqueOcelotNerfBlueBlaster-lBwlYcx9mFQWHqkA?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
4,「ここは見て、ここは見て、下がりすぎなんだよ。そういうとこだよ、マジで」,https://www.twitch.tv/alfrea/clip/HonorablePolishedCroissantPJSalt-2x1VU984iZGCVUax?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
5,「早く行って、早く行ってよ。意味わからんて」,https://www.twitch.tv/alfrea/clip/SaltyEnthusiasticPigOhMyDog-LYXsmTxg5obnYxtV?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
6,「ｯﾁそのキック今マジで意味がない」,https://www.twitch.tv/alfrea/clip/HandsomePiliableCiderPeoplesChamp-DWgnC5wM1OG_TG47?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
7,「今どんくらいの声で喋ってるのか分かんねえんだよ！」,https://www.twitch.tv/alfrea/clip/NimbleBusyTaroPeanutButterJellyTime-QGm52hJKK6cRwZ3D?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
8,「ガチでイカれたキック出てた。普通に。」,https://www.twitch.tv/alfrea/clip/AssiduousAbstruseGarageCoolStoryBro-wp-vtQ8rFa8j_KwZ?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
9,「ドラゴン 聞いてる？ドラゴンドラゴンドラゴンドラゴン」,https://www.twitch.tv/alfrea/clip/FamousGoldenSashimiFutureMan-88cuB0iACuTR5WYw?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
10,「そこにいろ、そこにいろ、バカ。何やっとる？お前はどっか行け、マジで」,https://www.twitch.tv/alfrea/clip/DepressedBeautifulPancakeDoggo-5Tse3_TdDKigXqhm?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
11,「あなたはポジションおかしいよ」,https://www.twitch.tv/alfrea/clip/ExpensiveSmallAsparagusVoteYea-9cCmI1uGvcgaam1j?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
12,「観客ですか？って話。死ぬなとは言ったけど下がれとは言ってない」,https://www.twitch.tv/alfrea/clip/HorribleBlazingJellyfishKlappa-nHGEGEN7RDNshT_Z?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
13,「本当にファームが下手」,https://www.twitch.tv/alfrea/clip/MildEsteemedSmoothieHotPokket-Hb9qHyvfuhm0jVOr?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
14,「元気だなぁ～負けてるのにあいつらｗ」,https://www.twitch.tv/alfrea/clip/FaintSecretiveWerewolfSpicyBoy-PkLW41NMdlL-Oz7N?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
15,「人間舐めんなよマジで」,https://www.twitch.tv/alfrea/clip/WanderingSpicyNarwhalHumbleLife-Y35y-mBDklOduGJq?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
16,「うるさ、黙ってろ」,https://www.twitch.tv/alfrea/clip/FineProductiveAubergineMau5-Gwpm3VsAhneBY1Ar?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
17,「耳ついてるのかな？？」,https://www.twitch.tv/alfrea/clip/HealthyGoodThymeNerfBlueBlaster-bKbKtuLMlmmaaPHO?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
18,「こいつバカ」,https://www.twitch.tv/alfrea/clip/VibrantFastCourgetteDerp-o4RVg-FdX2uyTijc?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
19,「スロウつけんな、ボケ...（台パン）」,https://www.twitch.tv/alfrea/clip/RamshackleElegantPassionfruitDBstyle?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
20,「ワード壊したい、見えるでしょ？」,https://www.twitch.tv/alfrea/clip/GloriousInterestingTigerCorgiDerp-Mr4BbJPF1xNfLCK-?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
21,「LoLやる人って勝ちたい人とどっちでもいい人と両方居て...」,https://www.twitch.tv/alfrea/clip/SaltySoftMinkNerfRedBlaster-jjO-46JV-s3O2UeA?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
22,「意味わからんマジで」,https://www.twitch.tv/alfrea/clip/RudeEmpathicOysterPermaSmug-Wa114ulg-vVvgXcv?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
23,「カス...カサディン」,https://www.twitch.tv/alfrea/clip/FurtiveFancyPuffinRaccAttack-udWUQv6wgNEnE8eF?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
24,「え？見てた？」,https://www.twitch.tv/alfrea/clip/QuaintHeartlessHabaneroKAPOW-Wm4Nr4fn68nxJIyG?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
25,「どうぶつの森みたいな声する」,https://www.twitch.tv/alfrea/clip/ResilientAggressiveOilMVGame-cA_xryIpQZGtPzBZ?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
26,「操作が下手なのはしょうがない」,https://www.twitch.tv/alfrea/clip/InnocentDignifiedWatercressLeeroyJenkins-DyOjBU2lHWuOaPwH?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
27,「（たぬき忍者のすりこみ中のペンギンをチェーンソーで攻撃して）メスはお得」,https://www.twitch.tv/alfrea/clip/SmilingHungryBadgerFeelsBadMan-99aHWpUOuTRJO6PX?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
28,「フラッシュULTすれば勝てたのに入れなかったメンタルの弱さでヴィエゴをピックしたところが俺は気にくわない」,https://www.twitch.tv/alfrea/clip/WimpyFrozenUdonPermaSmug-6oDb1KDoQ8gM4dmm?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
29,「(Eviをキルして）あれ？この人本当にプロかな？」,https://www.twitch.tv/alfrea/clip/CrowdedDirtyEggMau5-gQfbNorta6pTBVTN?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
30,「おん？おうおうおう！プッシュするときは”前から”って言ったよなオレ？」,https://www.twitch.tv/alfrea/clip/GorgeousOutstandingYamTwitchRaid-J-Hz3oY3CYSPAbTb?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
31,「お前起きてろよ、今から行くぞ」,https://www.twitch.tv/alfrea/clip/SpunkyCrispyGarbageOptimizePrime-F879UhzTvNfDcS-U?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
32,「おぼさん、ボドカさん、ここらへんは戦闘力5、ゴミめ」,https://www.twitch.tv/alfrea/clip/RealTallCheesecakePJSugar-TBVRCn5WfkW-R_kT?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
33,「さすがにたかやスペシャルジャングルにおいたら絶対勝てん」,https://www.twitch.tv/alfrea/clip/BrightPhilanthropicSquirrelShadyLulu-MUcq0EUCDS8JULGf?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
34,「ねえねえねえ...まあいいや」,https://www.twitch.tv/alfrea/clip/SullenTardyDunlinOSsloth-nCSfqi8YF_GIvVkk?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
35,「よし、トイレ行ってこよ。この試合は終わりました、今のデスで終わりです」,https://www.twitch.tv/alfrea/clip/SteamyBoredFerretBleedPurple-vxrsJRF3Ym1BJvsJ?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
36,「めっちゃうるさいなと思ったら絶叫女ってタグが付いてるんだ凄いな」,https://www.twitch.tv/alfrea/clip/SpoopySuperDootKreygasm-7yPHlIgo1x9AShSs?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
37,「勝ちたくて集まったんじゃないんですか？」,https://www.twitch.tv/alfrea/clip/InspiringSmoggyGarlicPeteZarollTie-zSzzduAM9Gxksut4?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
38,「戦う気が無い、そもそも。増アカの教育方針的に」,https://www.twitch.tv/alfrea/clip/NaiveGiftedSlothNerfBlueBlaster-OFyFPk4giB0w27ot?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
39,「なんで前行ったの？下がれって言ったじゃん」,https://www.twitch.tv/alfrea/clip/HeadstrongOriginalHumanPJSugar-iATBUlHFapF12DGR?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
40,「マジで、烏合の衆だな」,https://www.twitch.tv/alfrea/clip/OnerousDarkDogDAESuppy-bEu6lNcmuCmV8jZI?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
41,「相手側のチームはあんまし勝つ気はしないね」,https://www.twitch.tv/alfrea/clip/BigColorfulBorkStoneLightning-4NRquletjkwg22hh?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
42,「ワードワードワードワードなんでなんでなんで、なんで川のワード差しに行かない？」,https://www.twitch.tv/alfrea/clip/ProductiveDifferentLemurM4xHeh-RTApVqucXovbltLW?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
43,「（タバコを）余裕でやめれる自信がある。やめれない奴らのために目の前で吸って目の前でやめてやりたい」,https://www.twitch.tv/alfrea/clip/AdorableFantasticChimpanzeeAMPTropPunch-vLWT-GZX5SFnDVuC?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
44,「同じこともう一回言うの好きじゃないんだよね」,https://www.twitch.tv/alfrea/clip/RoundOptimisticRabbitDBstyle-vtTp8VQL5D9xOHTl?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
45,「だからRW撃つなつってんだろ」,https://www.twitch.tv/alfrea/clip/WimpyFamousJalapenoJKanStyle-Nt-k0sRdp6sYScXN?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
46,「喋りすぎて疲れた、疲れた疲れた疲れた」,https://www.twitch.tv/alfrea/clip/BloodyHumbleFennelFloof-kvCvfcoxJ-ELpohs?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
47,「ナーがさ、ブルーバフ取ってるの割とトロールだと思うんだよね、タワー殴ってほしい」,https://www.twitch.tv/alfrea/clip/ConsiderateColdCormorantRedCoat-YUt-B6s3lkcfnO7Z?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
